time,AZUL4,GOLL4,spread,zScore,short,long,long_entry,long_exit,positions_long,short_entry,short_exit,positions_short,positions,hegde
2023-04-26 15:45:00,9.98,6.09,0.8869310485951516,-1.097311998465306,1.691287801240266,-1.84365400771159,False,False,1.0,False,True,0.0,1.0,1.4931147703456238
2023-04-26 15:50:00,10.01,6.1,0.9019999008916955,-1.0661178281240042,1.691287801240266,-1.84365400771159,False,False,1.0,False,True,0.0,1.0,1.4931147703456238
2023-04-26 15:55:00,10.0,6.09,0.9069310485951512,-1.055047645771758,1.691287801240266,-1.84365400771159,False,False,1.0,False,True,0.0,1.0,1.4931147703456238
2023-04-26 16:00:00,9.97,6.07,0.9067933440020646,-1.0540468820271716,1.691287801240266,-1.84365400771159,False,False,1.0,False,True,0.0,1.0,1.4931147703456238
2023-04-26 16:05:00,9.99,6.07,0.9267933440020641,-1.0131165184937019,1.691287801240266,-1.84365400771159,False,False,1.0,False,True,0.0,1.0,1.4931147703456238
2023-04-26 16:10:00,10.0,6.07,0.9367933440020639,-0.9920456760281008,1.691287801240266,-1.84365400771159,False,False,1.0,False,True,0.0,1.0,1.4931147703456238
2023-04-26 16:15:00,9.96,6.05,0.9266556394089775,-1.0109288781927626,1.691287801240266,-1.84365400771159,False,False,1.0,False,True,0.0,1.0,1.4931147703456238
2023-04-26 16:20:00,9.93,6.05,0.8966556394089764,-1.0691862720004146,1.691287801240266,-1.84365400771159,False,False,1.0,False,True,0.0,1.0,1.4931147703456238
2023-04-26 16:25:00,9.93,6.04,0.9115867871124319,-1.0382899663169602,1.691287801240266,-1.84365400771159,False,False,1.0,False,True,0.0,1.0,1.4931147703456238
2023-04-26 16:30:00,9.91,6.05,0.8766556394089768,-1.1064018930404032,1.691287801240266,-1.84365400771159,False,False,1.0,False,True,0.0,1.0,1.4931147703456238
2023-04-26 16:35:00,9.92,6.03,0.9165179348158876,-1.0259352605732397,1.691287801240266,-1.84365400771159,False,False,1.0,False,True,0.0,1.0,1.4931147703456238
2023-04-26 16:40:00,9.9,6.03,0.896517934815888,-1.0644765562023788,1.691287801240266,-1.84365400771159,False,False,1.0,False,True,0.0,1.0,1.4931147703456238
2023-04-26 16:45:00,9.88,6.03,0.8765179348158885,-1.1030237872400916,1.691287801240266,-1.84365400771159,False,False,1.0,False,True,0.0,1.0,1.4931147703456238
2023-04-26 16:50:00,9.88,6.0,0.9213113779262585,-1.0127151931881613,1.691287801240266,-1.84365400771159,False,False,1.0,False,True,0.0,1.0,1.4931147703456238
2023-04-27 10:00:00,9.9,6.0,0.9413113779262581,-0.9717410867915615,1.691287801240266,-1.84365400771159,False,False,1.0,False,True,0.0,1.0,1.4931147703456238
2023-04-27 10:05:00,9.97,6.05,0.9366556394089773,-0.9798799158932308,1.691287801240266,-1.84365400771159,False,False,1.0,False,True,0.0,1.0,1.4931147703456238
2023-04-27 10:10:00,9.92,6.04,0.9015867871124321,-1.0486320273811969,1.691287801240266,-1.84365400771159,False,False,1.0,False,True,0.0,1.0,1.4931147703456238
2023-04-27 10:15:00,9.9,6.02,0.9114490825193453,-1.0277641779072226,1.691287801240266,-1.84365400771159,False,False,1.0,False,True,0.0,1.0,1.4931147703456238
2023-04-27 10:20:00,10.01,6.1,0.9019999008916955,-1.0454592473592872,1.691287801240266,-1.84365400771159,False,False,1.0,False,True,0.0,1.0,1.4931147703456238
